# Ellipse parameters (center_x, center_y, width, height, angle in degrees)
# Reproduce ellipses using matplotlib.patches.Ellipse(xy=(x, y), width=w, height=h, angle=a)

1A_comp1: mean=(0.1645, -0.1706), width=0.7842, height=0.4558, angle=125.10
1B_comp1: mean=(0.1316, -0.3287), width=0.6184, height=0.5290, angle=174.19
1C_comp1: mean=(-0.0175, -0.3730), width=0.4089, height=0.3226, angle=-163.88
2A_comp1: mean=(-0.2511, -0.6972), width=0.5584, height=0.4719, angle=160.99
2A_comp2: mean=(-0.0446, -0.5329), width=0.4604, height=0.4141, angle=148.56
2A_comp3: mean=(0.0216, 0.4006), width=0.0040, height=0.0040, angle=90.00
2B_comp1: mean=(-0.1595, -0.6949), width=0.5957, height=0.4359, angle=-137.49
2C_comp1: mean=(-0.1790, -0.6005), width=0.3497, height=0.2768, angle=-150.99
3A_comp1: mean=(-0.5385, -1.1491), width=0.6612, height=0.4583, angle=62.40
3A_comp2: mean=(-0.8235, -0.8866), width=0.8627, height=0.3868, angle=-158.73
3B_comp1: mean=(-0.4387, -1.0327), width=0.5965, height=0.4613, angle=69.04
