# Ellipse parameters (center_x, center_y, width, height, angle in degrees)
# Reproduce ellipses using matplotlib.patches.Ellipse(xy=(x, y), width=w, height=h, angle=a)

1A_comp1: mean=(0.2136, 0.1010), width=0.7725, height=0.2554, angle=-151.76
1B_comp1: mean=(0.1405, -0.2714), width=0.7421, height=0.2193, angle=51.14
1B_comp2: mean=(0.2956, 0.0346), width=0.8799, height=0.2484, angle=-148.81
1C_comp1: mean=(0.0668, -0.4617), width=0.6951, height=0.1042, angle=46.42
2A_comp1: mean=(-0.1108, -0.3437), width=1.1263, height=0.2648, angle=-137.45
2B_comp1: mean=(-0.1437, -0.5728), width=0.9194, height=0.2671, angle=45.63
2C_comp1: mean=(-0.1486, -0.6766), width=0.6242, height=0.0814, angle=46.96
3A_comp1: mean=(-1.0145, -1.3882), width=1.1161, height=0.1251, angle=-159.60
3A_comp2: mean=(-0.6624, -1.0225), width=0.8311, height=0.4586, angle=-148.22
3B_comp1: mean=(-0.5175, -0.9988), width=0.6665, height=0.2075, angle=46.41
